SongID,SectionID,SongSection,MidiFile,BSMax,BSAccompMax,AccompGeneric,WrittenOutAccompStart,Key,Modality,EndPhraserDelimiter,Probability
1,1,1,/Users/courtney/Programs/cinder_0.9.2_mac/InteractiveTangoMilongaNewDB/ITM_Database/NDB/FragmentSection1Melody1.mid,4,8,1,5,C,m,127,0.5
1,2,1,/Users/courtney/Programs/cinder_0.9.2_mac/InteractiveTangoMilongaNewDB/ITM_Database/NDB/FragmentSection1Melody2.mid,4,8,1,5,C,m,127,0.5
1,3,2,/Users/courtney/Programs/cinder_0.9.2_mac/InteractiveTangoMilongaNewDB/ITM_Database/NDB/FragmentSection2Melody1.mid,4,8,1,5,C,M,127,0.5
2,4,1,/Users/courtney/Programs/cinder_0.9.2_mac/InteractiveTangoMilongaNewDB/ITM_Database/NDB/PorUnaCabezaSection1Melody1.mid,4,7,1,5,G,M,127,0.5
2,5,2,/Users/courtney/Programs/cinder_0.9.2_mac/InteractiveTangoMilongaNewDB/ITM_Database/NDB/PorUnaCabezaSection2Melody1.mid,4,7,1,5,G,M,127,0.5
3,6,1,/Users/courtney/Programs/cinder_0.9.2_mac/InteractiveTangoMilongaNewDB/ITM_Database/NDB/LaCumparsitaSection1Melody1.mid,4,6,1,5,G,m,127,0.5
3,7,2,/Users/courtney/Programs/cinder_0.9.2_mac/InteractiveTangoMilongaNewDB/ITM_Database/NDB/LaCumparsitaSection2Melody1.mid,4,6,1,5,G,m,127,0.5
4,8,1,/Users/courtney/Programs/cinder_0.9.2_mac/InteractiveTangoMilongaNewDB/ITM_Database/NDB/ElChocloSection1.mid,4,3,1,5,B,m,127,0.5
4,9,2,/Users/courtney/Programs/cinder_0.9.2_mac/InteractiveTangoMilongaNewDB/ITM_Database/NDB/ElChocloSection2.mid,4,3,1,5,B,m,127,0.5
4,10,3,/Users/courtney/Programs/cinder_0.9.2_mac/InteractiveTangoMilongaNewDB/ITM_Database/NDB/ElChocloSection2.mid,4,3,1,5,B,m,127,0.5
4,11,4,/Users/courtney/Programs/cinder_0.9.2_mac/InteractiveTangoMilongaNewDB/ITM_Database/NDB/ElChocloSection3.mid,4,3,1,5,B,m,127,0.5
